Reviewer Name,Reviewer Rating,Reviewer Profile URL,Review,Time
 Ajit Sahay ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/102470385768697100565?hl=en-IN,One of The Finest And Best Airport of The World. Has been awarded The Best Airport in terms of Passengers Safety/ Amenities/ Number If Flights / Number Of Passengers being taken care of Flights on daily basis in domestic as well as International Flights. State of The Art Facilities available within the campus. Everything needed is almost available. Overall 👍👍👍👍,a month ago
 Abhinav Sharma ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/112506739216248289884?hl=en-IN,Very good airport.  Very neat and clean. T-3 is the best terminal. It has 3 terminal. Needs more maintenance in t -1 d. Good airport best in Asia and India . It has many stores to shop from them.,2 months ago
 Akash Rudra ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/110844658662569815426?hl=en-IN,"One of the best airport in India. Having 3 terminals with a huge area. Upgraded systems, courtetious Staffs, strong security system makes it best. So many boarding gates. Food courts, public convenience are all above the mark. It's quite far from the city, but the road is clear usually. All international flights and domestic flights available towards all destinations as It's the capital of country. Take your time to take a look in and around the airport, you'll be amazed.",a month ago
 PRAKASH JHA ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/104000580314104917187?hl=en-IN,The best among the 3 terminals at Delhi International Airport. It's always crowded. So keep sufficient time in ur hand. The amenities are of great standards.,a month ago
 Sameer RJ ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/101926572862384282322?hl=en-IN,Indira Gandhi International Airport happens to be one of the best airport of India. Loved the vibes and ambience of this magnificent place. This place is a sureshot winner when it comes to the most creative and artistic infrastructure of our country.,2 months ago
 Farah Naj Jahan ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/109439299863393052986?hl=en-IN,"It is an one of the biggest and busiest airports all over the world. It looks so beautiful and gorgeous for it's extraordinary monuments, sculptures and architectural building. Sometimes, people faced some problems for it's long area. It is like a labyrinth. But, here's people are so much helpful. They help people to give them right information. But, they have language insufficiency. They know only Hindi and English. But, I think though english is an international language so that there is very little possibility to face any problem. Overall,  it is really an outstanding place.",2 months ago
 Inderjeet Rathee ,"<span aria-label="" 4 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star"" jsan=""7.section-review-star"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/118355722090952258896?hl=en-IN,Good and one of the best airport in the world.  I love this place. Lounge are awesome and even duty free shops are also very good,a month ago
 Sanjiv Gupta ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/115849361441521359102?hl=en-IN,One of the most awarded airports in the world. It is known for continuously upgrading and updating it performance by following the requisite ISO processes. It handles almost 40 mn passengers per year,2 months ago
 Sivakumar V ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/107007554658932142597?hl=en-IN,A great airport befitting the capital. Very spacious- Beatiful with state of art facilities and architecture. A great experience. Vastly improved over years.,a month ago
 samriddh gupta ,"<span aria-label="" 3 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""228"" role=""img""> <span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""0"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""1"" jstcache=""267""></span><span class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" jsinstance=""2"" jstcache=""267""></span><span class=""section-review-star"" jsan=""7.section-review-star"" jsinstance=""3"" jstcache=""267""></span><span class=""section-review-star"" jsan=""7.section-review-star"" jsinstance=""*4"" jstcache=""267""></span> </span>",https://www.google.com/maps/contrib/102505065924173920737?hl=en-IN,"It was really nice that authorities were taking action to prevent the outbreak of the virus in delhi and I support there effects too. It was just that the place was not organized.  There were only one thermal reader and people were missing there connecting flights and were getting angry because of it. After the getting clearance from the health center, the same information was asked by me for 3 more places and it was causing a lot of problems. But still they were doing there best and I support there initiative but they were not organized about there initiative.",a month ago
