Reviewer Name,Reviewer Rating,Reviewer Profile URL,Review,Time
 Peter Paul ,"<span aria-label="" 4 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>",https://www.google.com/maps/contrib/107092375253238015185/reviews?hl=en-IN,"A great spot to grab a coffee at the International Airport. It is located in The Quad area as soon as you exit the airport. There is good amount of seating.

The food is alright, but I prefer the coffees here. They are made quickly and the staff are very kind if you want it heated more or you want some change in it. The place is also reasonably priced for an airport cafe.

Overall a good experience here.",a year ago
 mahan rulz ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/> </span>",https://www.google.com/maps/contrib/113186687353273245004/reviews?hl=en-IN,"Such a memorable place , staffs are friendly , and coffee is awesome",a month ago
 senthil kumar ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/> </span>",https://www.google.com/maps/contrib/104799959079692940699/reviews?hl=en-IN,"24 hours opening Cafe 77 at Taj Hotel
Food very Tasteful",a year ago
 Arti Singh ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/> </span>",https://www.google.com/maps/contrib/100679696609543308404/reviews?hl=en-IN,"Apart from Mumbai airport CCd this is one of the most beautifully done CCd. Loved the layout,  sitting and the entire ambience here. Amazing coffee point. Don't book a cab if u want to enjoy a coffee once done then book. Uber zone is just next to this place and ola is in front walking. And they are open 24x7 , serving great lunch from 11 to 3pm for just Rs. 375",3 years ago
 Suyog Rai ,"<span aria-label="" 3 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>",https://www.google.com/maps/contrib/109989104882492343896/reviews?hl=en-IN,"Good vibes. Coffee, not so good for the price.",a year ago
 MTY 11 ,"<span aria-label="" 4 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>",https://www.google.com/maps/contrib/114139030945857463088/reviews?hl=en-IN,"Good service, opposite to the Indigo check-in counters inside the airport, bit dirty in some areas.",10 months ago
 Girish Reddy ,"<span aria-label="" 4 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>",https://www.google.com/maps/contrib/115248761403714017809/reviews?hl=en-IN,The staffs are courteous and are helpful too. Their setting is good. They offer spacious seating. The overall ambiance is good and colorful.,a year ago
 darshana hosur ,"<span aria-label="" 1 star "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>",https://www.google.com/maps/contrib/101910724982759916497/reviews?hl=en-IN,Horrible service boys..its almost lik they chase you out once u r done with ur coffee or order...they should be trained how to handle customers..just because we sit there for another hour cant keep buying things over and over again.,a year ago
 ROHITH K MURALI ,"<span aria-label="" 4 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star"" jsan=""7.section-review-star,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>",https://www.google.com/maps/contrib/100753071239015368301/reviews?hl=en-IN,"Café Coffee Day (CCD) is an Indian café chain. It is a subsidiary of Coffee Day Enterprises Limited. Coffee Day serves 1.8 billion cups of coffee annually in six countries
Café Coffee Day Global Limited Company is a Chikkamagaluru-based business which grows coffee in its own estates of 20,000 acres. It is the largest producer of arabica beans in Asia, exporting to various countries including the U.S., Europe, and Japan.

V. G. Siddhartha started the café chain in 1996 when he incorporated Coffee Day Global, which is the parent of the Coffee Day chain. The first CCD outlet was set up on July 11, 1996, at Brigade Road, Bangalore, Karnataka. It rapidly expanded to other cities in India, with more than 1000 cafés open across the nation by 2011.

In 2010, it was announced that a consortium led by Kohlberg Kravis Roberts would invest ₹10 billion (US$140 million) in Coffee Day Resorts, owned by the company.The same year, the logo was changed to the current logo, which the company stated was to showcase the chain as a place to talk.This was done with major changes in the layout of the stores, including the addition of lounges and a total revamp of the interiors.",a year ago
 Himanshu Awasthi ,"<span aria-label="" 5 stars "" class=""section-review-stars"" jsan=""7.section-review-stars,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""250"" role=""img""> <img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""0"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""1"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""2"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""3"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active,8.src,0.alt"" jsinstance=""*4"" jstcache=""289"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/> </span>",https://www.google.com/maps/contrib/109470373470578035566/reviews?hl=en-IN,Good food with fine options of cocktails & mocktails....,a year ago
